cu_option,cu_119,cu,voltage_level,cycle,or_abbreviation,asset_ownership,gen,cmt,perg,stn,sdl,crs,min_cu,avg_cu,max_cu,cot_value,cu_without_cot
0,719.8772,719.8772,2,202505,EDEQ,N/A,304.6995,86.0331,24.9688,56.7575,206.2744,41.1439,713.0218,719.8542,724.6013,56.53,663.3472
0,777.277,777.277,1,202505,ENELAR,100% OPERADOR,304.0386,29.373,46.9529,56.7575,299.0111,41.1439,769.9378,777.2523,782.3345,0,777.277
0,724.9165,724.9165,1,202505,ENELAR,100% USUARIO,304.0386,29.373,46.9529,56.7575,246.6506,41.1439,717.5773,724.8918,729.974,0,724.9165
0,751.0968,751.0968,1,202505,ENELAR,50% OPERADOR,304.0386,29.373,46.9529,56.7575,272.8309,41.1439,743.7576,751.0721,756.1543,0,751.0968
0,635.912,635.912,2,202505,ENELAR,N/A,304.0386,29.373,16.2484,56.7575,188.3506,41.1439,629.1189,635.8892,640.5932,0,635.912
0,568.2955,568.2955,3,202505,ENELAR,N/A,304.0386,29.373,9.6336,56.7575,127.3489,41.1439,561.6202,568.2731,572.8956,0,568.2955
0,737.3999,737.3999,1,202505,EMCALI,100% OPERADOR,305.3496,22.7021,50.4088,56.7575,261.038,41.1439,730.0824,737.3753,742.4424,0,737.3999
0,708.897,708.897,1,202505,EMCALI,100% USUARIO,305.3496,22.7021,50.4088,56.7575,232.5351,41.1439,701.5795,708.8724,713.9395,0,708.897
0,602.1235,602.1235,2,202505,EMCALI,N/A,305.3496,22.7021,22.9862,56.7575,153.1842,41.1439,595.292,602.1006,606.8313,0,602.1235
0,723.1484,723.1484,1,202505,EMCALI,50% OPERADOR,305.3496,22.7021,50.4088,56.7575,246.7865,41.1439,715.8309,723.1238,728.1909,0,723.1484
0,541.7797,541.7797,3,202505,EMCALI,N/A,305.3496,22.7021,21.4528,56.7575,94.3738,41.1439,534.9753,541.7568,546.4686,0,541.7797
0,722.1867,722.1867,1,202505,EMCARTAGO,100% USUARIO,305.0123,27.9987,70.1508,56.7575,221.1235,41.1439,714.5034,722.1609,727.4813,0,722.1867
0,762.1012,762.1012,1,202505,EMCARTAGO,100% OPERADOR,305.0123,27.9987,70.1508,56.7575,261.038,41.1439,754.4179,762.0754,767.3958,0,762.1012
